Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju)	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu)	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi)	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas)	Ðis skats man patîk	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 2	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 2	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 2	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 2	Ðis skats man patîk 2	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 2	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 3	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 3	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 3	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 3	Ðis skats man patîk 3	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 3	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 4	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 4	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 4	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 4	Ðis skats man patîk 4	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 4	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 5	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 5	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 5	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 5	Ðis skats man patîk 5	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 5	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 6	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 6	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 6	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 6	Ðis skats man patîk 6	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 6	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 7	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 7	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 7	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 7	Ðis skats man patîk 7	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 7	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 8	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 8	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 8	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 8	Ðis skats man patîk 8	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 8	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 9	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 9	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 9	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 9	Ðis skats man patîk 9	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 9	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 10	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 10	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 10	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 10	Ðis skats man patîk 10	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 10
6	6	6	6	6	Spartisks skats, kas liek domât, ka ðî ir valsts iestâdes IS.	6	4	6	4	4	Krâsu palete kâ no 70to color-blocking çras. Skaistumkopðana, çdinâðana, pârtika lîdzîgas krasas, pârtika-skaistumkopðana gandrîz identiskas krâsas. 	6	6	6	6	6	ienâkt poga?	6	5	6	5	4	Ar noapaïotajâm malâm izskatâs labâk, draudzîgâk.	5	6	6	6	6		6	6	6	6	6		5	5	5	5	5	Tipa un reìiona filtri neatbilst tabulas kolonnâm. Pogu krâsa. Tikai steidzamie slçdzim nav atbilstoða atspogïojuma tabulâ (kurus atfiltrçs to ieslçdzot?)	5	4	5	6	5	 Forma it kâ ðkiet modernâka, bet kaut kas ðíiet ne tâ, bet nevaru pateikt, kas tas ir. Varbût leibeïi, kas saplûst ar formas râmi? Nepatîk arî, ka laiks ir atseviðíi no datuma.	6	6	6	6	6		6	6	6	6	6	
5	6	6	6	6	Pieteikuma formâ gribçtu redzçt piezîmi par personas datu aizsardzîbu.	6	6	6	6	6		5	6	6	6	6		6	6	6	6	6		5	6	6	6	6		5	6	6	6	6		5	6	6	6	6		5	6	6	6	6		6	6	6	6	6		5	6	6	6	6	
2	2	3	5	3	Neredzot URL nav uzticîbas	3	3	4	5	4		3	3	4	5	4		4	4	5	6	5		4	4	5	6	4		5	5	5	6	5		4	4	5	5	4		5	5	5	6	5		5	5	5	5	5		5	5	6	5	5	
5	5	5	5	5	Pieejamajiem vizîtes laikiem bûtu jâbût redzamiem pie datuma un laika.	5	5	4	5	5		5	5	5	5	5		5	5	4	5	5		5	5	5	5	5		5	5	5	5	5	Ar nosacîjumu, ka ir produkta foto.	5	5	5	5	5		5	5	5	5	5		5	5	5	5	5		3	3	3	3	3	
4	2	5	5	1	Pârâk lietiðís, drûmi pelçks skats. Mazâko burtu izmçrs salîdzinoði sîks. 	1	5	5	6	3	"Vârdu ""Panelis"" varçtu aizvietot ar kâdu vienkârðaku terminu. Mulsina vârds ""Bankin"""	4	3	3	5	3	"Zvaigznîte pie dzimuma izvçles liecina, ka lauks ir obligâts, bet tas ir pretrunâ ar izvçli ""nevçlos norâdît"". Jânoòem zvaigznîte vai opcija ""nevçlos norâdît"""	1	4	4	5	5	"""BankIn"" nav saprotams"	2	4	4	5	3	Nav uzticams skats, jo kontaktpersonai nav kontaktu	1	2	5	4	2	"Tâdâ lapâ es neko nepirktu: nekas neaicina, nav krâsu utt. Vârsd ""ðuviens"" liecina par robottulkojumu, kas raksturîgs krâpnieciskâm lapâm"	2	4	4	5	3		4	2	5	5	1		4	3	3	5	3		1	2	5	4	2	
4	4	4	4	2		4	6	3	6	6		4	4	4	4	3		6	6	6	6	6		4	4	4	4	4		4	4	4	4	4		5	5	4	5	5		4	4	4	4	4		4	3	4	4	4		4	4	4	4	4	
3	3	3	3	3		6	6	6	6	6		5	5	5	5	5		5	5	5	5	5		5	5	5	5	5		5	5	5	5	5		5	5	5	5	5		5	5	5	5	5		6	6	6	6	6		6	6	6	6	6	
5	5	6	6	4		6	6	6	5	5		6	6	6	6	6		6	5	6	6	6		6	5	6	5	4		4	2	1	1	1	Man vajag bildi	6	5	6	4	5		5	5	6	5	5		5	6	6	6	5		2	1	1	2	1	Nu primâri, ja redzu, ka cena nemainâs, bet uzrâda - 25%, tad ir aplam.
6	6	6	6	6		6	6	5	6	6		5	5	6	6	5		5	6	4	6	6		6	6	6	6	6		3	4	3	5	4	Pietrûkst somas attçls, lai pârliecinots vai prece atbilst gaidîtajam un norâdîtajam aprakstam.	5	4	5	3	4		6	6	6	6	6		5	5	6	6	5		3	4	3	6	4	Nav somas attçls
4	6	6	6	6		5	6	5	6	6		5	5	6	6	6		5	6	5	5	6		5	5	6	6	6		5	6	5	6	6		5	4	6	6	6		5	4	5	6	6		4	5	6	6	6		5	5	6	5	6	
5	5	6	5	6		5	5	5	5	5		5	5	5	5	5		5	5	5	5	5		5	5	5	5	5		5	5	5	5	5		5	5	5	5	5	statusa josla pârâk krâsaina, raiba	6	6	6	6	6		5	5	5	5	5		2	3	4	4	4	tur atlaide ir sketchy, izskatâs pçc scam
1	3	5	6	5		1	2	2	3	3		3	3	3	4	3		3	3	3	3	3		3	3	3	3	3		3	3	3	3	3		3	3	3	3	3		3	3	3	3	3		3	3	3	3	3		3	3	3	3	3	
6	6	6	6	6		3	4	4	4	4	grûti pârskatît izdevumus, prasîtos sakârtotus dilstoði pçc summâm	6	6	6	6	6		3	3	2	2	2		6	6	6	5	5		5	4	6	4	3	priekð produkta lapas liekas daudz kantainu elementu	5	4	6	5	5		6	6	6	6	6		5	4	5	4	4	ienâkt poga ðíiet mulsinoða, jo to pamanu tikai pçc formas aizpildes	6	6	4	6	6	patîk apaïo malu elementi, ðíiet mîlîgâki par kantainajiem
3	1	5	1	1	Pârâk mazs ðrifts, sistçmas vizualizâcijas pietrûkst	5	5	4	3	4	Vizuâli baudâmâks,  analizçjama informâcija, daudz izejas datu, intuitîvs	3	3	5	5	5	.	5	5	4	4	5	Ieteiktu mainît sarkano krâsu skaistumkopðanai, lai atðíirtos no citiem pakalpojumiem	2	3	3	3	3	"Mazas iespçjas analizçt datus, maz filtru vienlaicîgi
"	4	4	4	4	4		4	4	4	4	4		3	3	4	3	3		3	3	3	3	3		3	3	3	3	3	
5	6	6	6	6		5	4	3	4	3		5	5	6	6	6		5	5	5	5	5		5	5	6	4	4		5	6	6	5	5		6	5	6	5	6		5	5	5	6	6		6	5	6	6	5		5	5	6	6	6	
5	5	6	6	6		5	5	5	5	5		6	6	6	6	6		4	4	5	3	4		4	4	4	4	3		6	5	4	5	4		3	3	3	3	3		6	6	6	6	6		6	6	6	6	6		4	4	4	4	4	
5	5	6	6	5		5	5	4	6	6		5	6	5	6	5		6	5	6	6	6		6	6	6	5	6		6	6	6	6	6		5	5	6	3	5		6	6	6	6	5		6	6	6	6	5		6	6	6	6	6	
4	6	6	5	5		4	4	4	5	4		4	6	6	6	6		5	4	4	5	3		4	4	5	4	5		3	3	3	4	2		5	5	5	5	4		5	5	5	5	5		5	5	5	5	5		3	3	3	3	2	
4	4	5	4	4		3	5	2	2	3	Bûtu labi ja bûtu podziòa lai attçlot bankas kartes numuru	5	5	5	5	5		4	5	2	3	4		4	4	2	2	4	Bûtu erti ja varçtu nevçrot neko vaïâ uzrei ievadît atslçgvârdu vai numuru 	2	3	6	2	2		3	3	4	2	3		4	4	2	4	3		3	4	3	3	3		3	5	4	4	4	
6	6	6	6	3		6	6	6	6	3		6	6	6	6	3		6	6	6	6	6		6	6	6	6	4		6	6	6	6	5		6	6	6	6	5		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6	
6	5	6	6	6		4	5	2	3	3	Liekas mazliet tâds nenopietns, man liekas tâpçc ka stipri rounded tie burbuïi visi. It îpaði tam grafika skatam	3	6	4	6	4	Ir sajûta ka parolei bûtu jâbût tâlâk jau atseviðíâ lodziòâ	6	6	6	6	6	Ideâli 	5	6	5	6	6		6	5	6	6	5		6	5	6	4	5	Nepatîk tumði pelçkâs joslas pie filtriem, uzlec acîs	4	5	4	6	5		6	5	6	6	6		4	6	1	5	3	
3	2	6	5	2		4	5	4	3	3		5	3	6	6	4		5	3	6	4	6		4	3	6	3	3		2	2	6	5	2		4	3	6	4	3		4	3	6	5	4		4	4	5	5	4		3	3	5	5	3	
4	4	4	4	3		4	3	4	3	3		4	3	3	5	3		4	3	3	4	3		4	3	5	4	5		4	3	4	5	4		4	3	4	5	3		4	3	4	4	3		4	3	4	4	3		4	4	4	5	4	
4	5	5	3	4	Par çrti lietot, varçtu spriest, redzot izvçlnes iespçjas, cik çrti sameklçt man vçlamo ârstu/vizîtes speciâlistu no saraksta.	5	5	5	5	5		3	4	5	5	5	Nav uzticîbas, jo raisa aizdomas obligâtais lauks ar dzimðanas datiem	6	5	5	5	5	vieglâk uztverams	5	4	5	5	5		4	5	5	5	5		5	5	5	5	5		5	5	5	4	5	par çrtumu varçtu spriest, cik viegli orientçties izvçlnçs meklçjot ârstniecîbas iestâdes.	4	5	5	5	5	neuzticîbu un jautâjumus raisa obligâtais dzimðanas datu laiks	4	5	5	5	5	
4	4	5	5	4		3	3	3	3	3	Varbût îsti nepiesaista izkstas un uzreiz uzticîba mazâka 	4	4	4	4	4	Ðis likas tâds aizdomîgi îss un viegls 	5	5	5	5	5	Ðis jau liekas vairâk vieglâk saprotamâks 	4	4	4	4	3	Gribçtos varbût skaidrâku un vairâk krâsâm çrtâk saprotamâku 	3	3	3	3	2	Îsti ðî mâja neuzrunâja vizuâli, ureiz tâda nopietna un sareþìîta liekas 	4	4	2	4	4	Jau vairâk patîk, pietruktos vairâk krâsas 	5	5	5	5	5	Ïoti patîkami viegli saprotams. Âtri viegli aizpildâms 	4	5	5	4	3	Varbût îsti mani neizrunâ pçc izskata un zûd tâ intresç un uzticîba uzreiz 	5	5	5	4	4	Ïoti lielu plusu dod klât atsauksmes 
5	5	6	6	6		5	6	6	6	6		6	6	6	6	6		6	6	6	6	6		5	5	5	5	5		5	5	5	5	6		5	5	5	5	5		5	5	6	6	6		6	6	6	6	6		5	5	5	5	5	
6	3	6	5	4		3	5	1	3	2		4	5	3	5	4		6	2	6	6	4	Spilgtâs krâsas padara to nedaudz draudzîgâku	3	6	3	3	3		4	1	6	6	1	Krâsas un lapa kopumâ liekas nopietna	6	2	6	6	2	Viegli pârskatâma tabula	4	4	3	4	2		6	4	6	6	6	Krâsa liekas silta, draudzîga	5	6	3	5	5	Krâsas liekas nopietnas
4	4	4	4	4		2	2	2	4	2		4	4	4	4	4		3	3	3	4	4		4	5	4	4	4		2	2	2	2	2		4	4	4	4	4		4	4	4	4	4		4	4	4	4	4		3	3	3	3	3	
5	5	6	6	5		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6	
1	1	2	1	1	Izskatâs kâ super basic html	2	2	2	2	2	Izskatâs ok, izòemot spilgtâs krâsas	4	4	4	4	4	Normâls	3	3	3	3	3	Pârâk kvadrâtainas malas pogâm	3	3	3	3	3	Daudz dati, maz izceïoðu elementu	3	3	3	3	3	Atsauksmes nav uzskatâmas, mazs fonts atlaidei, like poga neizskatâs iederîgi	2	2	2	2	2	"Ïoti ""excel wibe"" nav pârâk uzskatâma informâcija"	4	4	3	3	4	Mazs virsraksts	2	3	3	3	2	Pârâk sarkanîgs tonis	3	2	3	3	3	
4	5	6	6	4		3	4	2	5	5		5	5	6	6	5		4	5	2	5	5		3	3	4	5	3		4	5	4	6	5		3	3	5	5	3		5	5	6	6	5		5	4	6	5	4		4	5	3	6	5	
5	5	5	5	5		5	5	5	5	5		5	4	5	5	5		5	5	6	6	6		5	5	5	5	5		4	4	4	5	5		5	5	5	6	6		6	6	6	6	6		5	5	5	5	5		5	5	5	6	6	
4	4	4	4	4		5	5	5	5	5		4	4	4	4	4		5	5	5	5	5		5	5	5	5	5		5	5	5	5	5		5	5	5	5	5		4	4	4	4	4		5	5	5	5	5		5	5	5	5	5	
5	3	5	6	4		5	6	4	6	6		6	4	6	6	5		6	6	5	6	6		6	6	6	6	6		5	5	6	5	5		6	6	6	6	6		6	5	6	6	5		6	6	6	6	6		5	5	6	5	5	
5	5	5	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		5	5	5	5	5		5	5	5	5	5		5	5	5	5	5		5	5	5	5	5		5	5	5	5	4		5	5	5	5	5	
3	5	4	5	5		5	5	5	5	5		4	5	4	5	5		5	5	4	4	4		3	5	4	4	3		4	5	4	4	4		4	5	4	5	5		3	4	3	4	4		5	5	5	5	5		5	5	5	5	5	
6	6	6	6	5	Vienîgi labajâ pusç varçtu pârlikt pogu - pieteikt vizîti.	6	5	5	6	5	Grafikam pârâk spilgtas krâsas par patçrçtajâm sadaïâm, kâ apìçrbi, transports u.c. sadaïas , tâdâ veidâ nosedzot citu informâciju.	6	5	6	5	5	Ienâkt poga atrodas neçrtâ vietâ un dzimumu nav nepiecieðams tik ïoti izcelt ar bold - treknrakstu ar to domâju tik lielu bumbiòu salikumu.	6	6	6	5	5	Kâ jau minçju iepriekð pârâk koðas krâsas patçrçtajam sadaïâm.	6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	5	6	6	5	Pieteikt vizîtes pogu labajâ pusç, jo tâ çrtâk automâtiski iesniegt.	6	6	6	6	6		6	6	6	6	6	
5	5	5	6	5		5	5	4	4	3	Ïoti uzbâzîga grafika daïa (kreisâ, apakðçjâ mala)	6	6	6	6	6		5	4	5	5	4		5	4	4	3	3		6	6	6	6	6		5	5	5	5	5		5	5	5	5	5		6	6	6	6	6		5	5	5	5	5	
4	5	6	6	6		3	3	3	3	3		5	6	6	6	6		3	3	3	3	3		5	4	5	6	6		4	4	5	5	4		6	6	6	6	6		3	3	2	3	3		5	6	6	6	6		4	4	4	4	4	
3	2	6	4	3		4	5	4	5	5		4	4	4	5	4		4	5	3	6	6		3	2	5	2	2		4	4	2	5	5		4	3	3	2	2		5	4	3	4	3		3	3	3	3	2		3	4	3	4	3	
4	3	5	3	3		1	5	3	3	6		3	6	5	5	4		6	2	4	4	2		3	4	5	4	4		1	2	3	5	4	Vajadzîgs vienmçr foto( vairâki)	2	5	5	4	5		6	5	4	5	5		3	5	4	5	5		2	2	4	5	6	
5	5	4	5	5		5	6	5	6	6		5	5	5	6	5		5	6	5	6	6		5	5	5	3	4	Noteikti ïautu meklçt pçc uzòçmuma, ne reìiona, bet, iespçjams, tâ ir specifika tâda te, trûkst vairâk info	4	4	4	4	3	"Liekas pârâk vienkârðs, bet ne vienkârðs. Grûti noraksturot sajûtas, bet tâda ""throwback"" sajûta ar ðâdu layout"	4	4	4	4	4	Tâds pats komentârs, kâ pirms iepriekðçjâ	5	5	5	6	6		5	5	5	5	6		4	5	4	5	4	
4	3	4	2	1		2	5	3	4	4		5	4	2	3	1		1	2	2	4	2		5	3	5	4	4		3	4	4	4	3		3	1	5	3	3		4	2	4	4	3		3	4	2	4	4		4	5	3	5	4	
5	4	5	5	4		2	2	2	2	1		4	3	2	5	2	"Dîvaini, ka parole ir vienâ lapâ ar personîgo informâciju. Parasti ir personîgâ informâcija, uzspieþot uz pogas ""tâlâk"", liek ievadît savu paroli un to apstiprinât. Viss liekas pârâk saspiests."	2	2	2	3	1	"Viss ir pârâk cieði kopâ un pârâk krâsains. Labâk bûtu izmantot pasteïkrâsas stabiòdiagrammai vai tâdas paðas kâdas ir ""Nosûtîts"" vai ""Saòemts"" paziòojumiem."	4	3	4	4	3		3	2	4	3	2		3	2	3	3	1	Sarkanâs pogas vairâk atgâdina kïûdas paziòojumu.	5	5	5	5	5		5	4	5	5	4		4	5	5	4	4	
4	4	5	5	3		4	2	4	5	3		5	5	6	5	3		4	4	5	5	3		5	5	6	6	4		5	5	5	6	6		5	6	5	6	3		3	3	5	6	3		5	5	6	6	3		5	3	5	5	3	
5	5	5	5	5		5	5	5	5	5		5	5	5	5	5		5	5	5	5	5		5	5	6	6	5		5	6	6	5	5		5	5	5	5	5		5	5	5	5	6		6	5	6	5	5		6	5	6	5	5	
6	2	6	6	3		1	6	1	2	1		6	5	3	6	6		6	4	6	6	6		5	5	4	4	3		3	3	6	2	1		6	1	6	6	5		5	5	2	4	3		6	3	6	6	6		6	6	2	6	6	
5	5	6	5	6	Lakoniska un saprotama attçlâ	3	3	3	3	3	Ðíiet ka viss saprotams, bet ïoti traucç spilgta krasa	6	6	6	6	6	Viss patika, nav nekâ lieka	3	3	3	3	3	Nepatîk krâsa	4	4	4	4	4	Viss saprotams, bet saplûst	6	6	6	6	6	Viss patîk 	4	4	4	4	4	Priekð man atkal  viss saplûst	6	6	6	6	6	Viss saprotams, man patîk 	6	6	6	6	6		6	6	6	6	6	
2	2	5	5	2		4	4	2	3	2		5	5	5	5	5		4	4	4	4	4		2	2	2	2	2		5	5	5	5	5		4	4	4	4	4		4	4	4	4	4		4	4	4	4	4		6	6	6	6	6	
5	3	6	6	6	Îss, kodolîgs, saprotams. Draudzîgumu neredzu	4	2	4	4	1	Nepatîk- pârâk raibs un kliedzoðs	4	2	6	6	3	Negribçtu personas datus likt vienâ listç ar paroli	4	2	4	4	3	Pçdçjâs transakcijas nav pârskatâmas	2	2	4	2	2	Nav pârskatâms	3	5	3	6	6	Varbût ne pçc tçmu, bet gribçtos redzçt vairâk fotogrâfiju, t.s. arî preces iekðpusi vai arî pilnîgâku aprakstu (cik kabatas, cik nodalîjumi, râvçjslçdþa aizdare utt.)	4	2	6	5	5		6	2	6	6	6		3	3	3	3	3	Lîdzîgs jau iepriekð minçtajam.	4	2	4	4	4	
3	5	6	6	4	"Pirmajâ atbildç ieliku vçrtçjumu ""3"", jo nebija izvçlnes neatbildçt, jeb atzîmçt ""n/a"", jo nevaru novçrtçt uzticamîbu skatam, jo tâds vçrtçjums ðíiet neloìisks.Tas var patikt vai nepatikt, bût çrts vai neçrts lietoðanâ, bet ne uzticams vai neuzticams."	3	5	3	5	4	Atbildei uz pirmo apgalvojumu - skatît pie 1.skata. Ja mana banka ðâdu skatu piedâvâtu - es droði vien sâkumâ padomâtu - priekð kam man jâredz pçdçjâs transakcijas? Bet ar laiku droði vien pierastu.	3	5	5	6	5	Atbildei uz pirmo apgalvojumu - skatît pie 1.skata.	3	5	4	5	5	Atbildei uz pirmo apgalvojumu - skatît pie 1.skata.	3	4	5	5	4	Atbildei uz pirmo apgalvojumu - skatît pie 1.skata.	3	4	5	5	4	Atbildei uz pirmo apgalvojumu - skatît pie 1.skata.	3	5	5	5	4	Atbildei uz pirmo apgalvojumu - skatît pie 1.skata.	3	5	6	5	5	Atbildei uz pirmo apgalvojumu - skatît pie 1.skata.	3	5	5	5	5	Atbildei uz pirmo apgalvojumu - skatît pie 1.skata.	3	5	6	5	5	Atbildei uz pirmo apgalvojumu - skatît pie 1.skata.
